"STATDISPID","class.name"
"0003364972","資本金階級"
"0003364972","産業"
"0003364972","投資額及びファイナンスリースのみなし取得価額"
"0003364973","資本金階級"
"0003364973","産業"
"0003364973","投資額及びファイナンスリースのみなし取得価額"
"0003364973","資産項目"
"0003364974","使用期間_表3-1"
"0003364974","除却形態"
"0003364974","取得形態"
"0003364974","資産項目分類"
"0003364976","除却形態"
"0003364976","取得形態"
"0003364976","資産項目分類"
"0003364979","産業"
"0003364979","資産項目分類"
"0003364981","除却形態"
"0003364981","取得形態"
"0003364981","資産項目分類"
"0003364982","使用期間_表3-4"
"0003364982","資産項目分類"
"0003364983","産業"
"0003364983","資本金階級"
"0003364987","使用期間_表3-1"
"0003364987","資産項目分類"
