"STATDISPID","class.name"
"0000030001","全域・集中の別030002"
"0000030001","男女Ａ030001"
"0000030001","年齢５歳階級Ａ030002"
"0000030002","全域・集中の別030002"
"0000030002","男女Ａ030001"
"0000030002","年齢各歳階級Ｂ030003"
"0000030003","全域・集中の別030002"
"0000030003","総日本人030004"
"0000030003","男女Ｂ030005"
"0000030003","年齢各歳階級Ａ030006"
"0000030003","出生の月030007"
"0000030004","全域・集中の別030002"
"0000030004","総日本人030004"
"0000030004","男女Ｂ030005"
"0000030004","15歳以上年齢030008"
"0000030004","配偶関係Ｃ030009"
"0000030005","全域・集中の別030002"
"0000030005","男女Ａ030001"
"0000030005","年齢５歳階級Ｂ030010"
"0000030005","国籍030011"
"0000030006","全域・集中の別030002"
"0000030006","男女Ａ030001"
"0000030006","入居・前住Ａ030012"
"0000030006","年齢５歳階級Ｄ030013"
"0000030007","全域・集中の別030002"
"0000030007","男女Ａ030001"
"0000030007","15歳以上年齢030014"
"0000030007","教育030015"
"0000030008","全域・集中の別030002"
"0000030008","男女Ａ030001"
"0000030008","年齢各歳階級Ｅ030016"
"0000030008","在学学校Ｂ030017"
"0000030009","全域・集中の別030002"
"0000030009","男女Ａ030001"
"0000030009","年齢各歳階級Ｅ030016"
"0000030009","未就学030018"
"0000030010","全域・集中の別030002"
"0000030010","男女Ａ030001"
"0000030010","15歳以上年齢030008"
"0000030010","労働力状態030019"
"0000030011","全域・集中の別030002"
"0000030011","男女Ａ030001"
"0000030011","15歳以上年齢030020"
"0000030011","労働力状態030019"
"0000030012","全域・集中の別030002"
"0000030012","男女Ａ030001"
"0000030012","産業大分類Ａ030021"
"0000030012","従業地位Ｂ030022"
"0000030013","全域・集中の別030002"
"0000030013","従業地位Ｆ030023"
"0000030013","男女Ａ030001"
"0000030013","15歳以上年齢030020"
"0000030013","産業大分類Ｂ030024"
"0000030014","全域・集中の別030002"
"0000030014","世帯人員Ａ030025"
"0000030015","全域・集中の別030002"
"0000030015","普通世帯員等030026"
"0000030016","全域・集中の別030002"
"0000030016","一般１世帯等030027"
"0000030017","全域・集中の別030002"
"0000030017","一般１世帯等030028"
"0000030018","全域・集中の別030002"
"0000030018","準世帯Ａ030029"
"0000030019","全域・集中の別030002"
"0000030019","施設人員030030"
"0000030020","全域・集中の別030002"
"0000030020","準世帯Ａ030029"
"0000030021","全域・集中の別030002"
"0000030021","準世帯人員Ａ030031"
"0000030022","全域・集中の別030002"
"0000030022","準世帯人員Ａ030031"
"0000030023","全域・集中の別030002"
"0000030023","世帯主続柄Ｃ030032"
"0000030023","男女Ｂ030005"
"0000030023","年齢各歳階級Ｃ030033"
"0000030023","配偶関係Ｃ030009"
"0000030024","世帯主続柄Ｃ030032"
"0000030024","男女Ｂ030005"
"0000030024","年齢５歳階級Ｃ030034"
"0000030024","配偶関係Ｃ030009"
"0000030025","全域・集中の別030002"
"0000030025","男女Ｂ030005"
"0000030025","年齢各歳階級Ｃ030033"
"0000030025","配偶関係Ｃ030009"
"0000030026","全域・集中の別030002"
"0000030026","男女Ｂ030005"
