"STATDISPID","TAG_NAME"
"0000030001","昭和55年国勢調査"
"0000030001","第1次基本集計"
"0000030001","全国編"
"0000030002","昭和55年国勢調査"
"0000030002","第1次基本集計"
"0000030002","全国編"
"0000030003","昭和55年国勢調査"
"0000030003","第1次基本集計"
"0000030003","全国編"
"0000030004","昭和55年国勢調査"
"0000030004","第1次基本集計"
"0000030004","全国編"
"0000030005","昭和55年国勢調査"
"0000030005","第1次基本集計"
"0000030005","全国編"
"0000030006","昭和55年国勢調査"
"0000030006","第1次基本集計"
"0000030006","全国編"
"0000030007","昭和55年国勢調査"
"0000030007","第1次基本集計"
"0000030007","全国編"
"0000030008","昭和55年国勢調査"
"0000030008","第1次基本集計"
"0000030008","全国編"
"0000030009","昭和55年国勢調査"
"0000030009","第1次基本集計"
"0000030009","全国編"
"0000030010","昭和55年国勢調査"
"0000030010","第1次基本集計"
"0000030010","全国編"
"0000030011","昭和55年国勢調査"
"0000030011","第1次基本集計"
"0000030011","全国編"
"0000030012","昭和55年国勢調査"
"0000030012","第1次基本集計"
"0000030012","全国編"
"0000030013","昭和55年国勢調査"
"0000030013","第1次基本集計"
"0000030013","全国編"
"0000030014","昭和55年国勢調査"
"0000030014","第1次基本集計"
"0000030014","全国編"
"0000030015","昭和55年国勢調査"
"0000030015","第1次基本集計"
"0000030015","全国編"
"0000030016","昭和55年国勢調査"
"0000030016","第1次基本集計"
"0000030016","全国編"
"0000030017","昭和55年国勢調査"
"0000030017","第1次基本集計"
"0000030017","全国編"
"0000030018","昭和55年国勢調査"
"0000030018","第1次基本集計"
"0000030018","全国編"
"0000030019","昭和55年国勢調査"
"0000030019","第1次基本集計"
"0000030019","全国編"
"0000030020","昭和55年国勢調査"
"0000030020","第1次基本集計"
"0000030020","全国編"
"0000030021","昭和55年国勢調査"
"0000030021","第1次基本集計"
"0000030021","全国編"
"0000030022","昭和55年国勢調査"
"0000030022","第1次基本集計"
"0000030022","全国編"
"0000030023","昭和55年国勢調査"
"0000030023","第1次基本集計"
"0000030023","全国編"
"0000030024","昭和55年国勢調査"
"0000030024","第1次基本集計"
"0000030024","全国編"
"0000030025","昭和55年国勢調査"
"0000030025","第1次基本集計"
"0000030025","全国編"
"0000030026","昭和55年国勢調査"
"0000030026","第1次基本集計"
"0000030026","全国編"
"0000030027","昭和55年国勢調査"
"0000030027","第1次基本集計"
"0000030027","全国編"
"0000030028","昭和55年国勢調査"
"0000030028","第1次基本集計"
"0000030028","全国編"
"0000030029","昭和55年国勢調査"
"0000030029","第1次基本集計"
"0000030029","全国編"
"0000030030","昭和55年国勢調査"
"0000030030","第1次基本集計"
"0000030030","全国編"
"0000030031","昭和55年国勢調査"
"0000030031","第1次基本集計"
"0000030031","全国編"
"0000030032","昭和55年国勢調査"
"0000030032","第1次基本集計"
"0000030032","全国編"
"0000030033","昭和55年国勢調査"
"0000030033","第1次基本集計"
"0000030033","全国編"
"0000030034","昭和55年国勢調査"
"0000030034","第1次基本集計"
"0000030034","全国編"
"0000030035","昭和55年国勢調査"
"0000030035","第1次基本集計"
"0000030035","全国編"
"0000030036","昭和55年国勢調査"
"0000030036","第1次基本集計"
"0000030036","全国編"
"0000030037","昭和55年国勢調査"
"0000030037","第1次基本集計"
"0000030037","全国編"
"0000030038","昭和55年国勢調査"
"0000030038","第1次基本集計"
"0000030038","全国編"
"0000030039","昭和55年国勢調査"
"0000030039","第1次基本集計"
"0000030039","全国編"
"0000030040","昭和55年国勢調査"
"0000030040","第1次基本集計"
"0000030040","全国編"
"0000030041","昭和55年国勢調査"
"0000030041","第1次基本集計"
"0000030041","全国編"
"0000030042","昭和55年国勢調査"
"0000030042","第1次基本集計"
"0000030042","全国編"
"0000030043","昭和55年国勢調査"
"0000030043","第1次基本集計"
"0000030043","全国編"
"0000030044","昭和55年国勢調査"
"0000030044","第1次基本集計"
"0000030044","全国編"
"0000030045","昭和55年国勢調査"
"0000030045","第1次基本集計"
"0000030045","全国編"
"0000030046","昭和55年国勢調査"
"0000030046","第1次基本集計"
"0000030046","全国編"
"0000030047","昭和55年国勢調査"
"0000030047","第1次基本集計"
"0000030047","全国編"
"0000030048","昭和55年国勢調査"
"0000030048","第1次基本集計"
"0000030048","全国編"
"0000030049","昭和55年国勢調査"
"0000030049","第1次基本集計"
"0000030049","全国編"
"0000030050","昭和55年国勢調査"
"0000030050","第1次基本集計"
"0000030050","全国編"
"0000030051","昭和55年国勢調査"
"0000030051","第1次基本集計"
"0000030051","全国編"
"0000030052","昭和55年国勢調査"
"0000030052","第1次基本集計"
"0000030052","全国編"
"0000030053","昭和55年国勢調査"
"0000030053","第1次基本集計"
"0000030053","全国編"
"0000030054","昭和55年国勢調査"
"0000030054","第1次基本集計"
"0000030054","全国編"
"0000030055","昭和55年国勢調査"
"0000030055","第1次基本集計"
"0000030055","全国編"
"0000030056","昭和55年国勢調査"
"0000030056","第1次基本集計"
