"STATDISPID","TITLE","CYCLE","SURVEY_DATE"
"0000030001","男女の別（性別）（３），年齢５歳階級（２３），人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030002","男女の別（性別）（３），年齢各歳階級（１０３），人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030003","総人口・日本人（２），男女の別（性別）（２），年齢各歳階級（１２２），出生の月（５），人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030004","総人口・日本人（２），男女の別（性別）（２），年齢各歳階級（８６），配偶関係（５），１５歳以上人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030005","男女の別（性別）（３），年齢５歳階級（１９），国籍（５），外国人数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030006","男女の別（性別）（３），入居時期・前住地（２１），年齢５歳階級（２０），人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030007","男女の別（性別）（３），年齢５歳階級（１２），最終卒業学校の種類・在学か否か（９），１５歳以上人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030008","男女の別（性別）（３），年齢各歳階級（３２），在学学校の種類（５），在学者数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030009","男女の別（性別）（３），年齢各歳階級（３２），未就学の種類（４），未就学者数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030010","男女の別（性別）（３），年齢各歳階級（８６），労働力状態（１２），１５歳以上人口 全国・市部・郡部・ＤＩＤ（全国），全域・人口集中地区の別","-",
"0000030011","男女の別（性別）（３），年齢５歳階級（１６），労働力状態（１２），１５歳以上人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030012","男女の別（性別）（３），産業大分類（１５），従業上の地位（６），１５歳以上就業者数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030013","総数・雇用者（２），男女の別（性別）（３），年齢５歳階級（１６），産業大分類（１４），１５歳以上就業者数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030014","世帯人員（１１），普通世帯数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030015","普通世帯の人員・普通世帯の１世帯当たり人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030016","一般世帯数・１人の一般世帯数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030017","一般世帯の人員・一般世帯の１世帯当たり人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030018","準世帯の種類（９），準世帯の人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030019","施設等の世帯人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030020","準世帯の種類（９），準世帯数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030021","準世帯人員（６），準世帯数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030022","準世帯人員（６），準世帯の人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030023","世帯主との続き柄（３），男女の別（性別）（２），年齢各歳階級（８７），配偶関係（５），２人以上の普通世帯人員 全国・市部・郡部・ＤＩＤ（全国），全域・人口集中地区の別","-",
"0000030024","世帯主との続き柄（３），男女の別（性別）（２），年齢５歳階級（１７Ａ），配偶関係（５），２人以上の普通世帯人員 都道府県（４７）","-",
"0000030025","男女の別（性別）（２），年齢各歳階級（８７），配偶関係（５），１人の普通世帯人員 全国・市部・郡部・ＤＩＤ（全国），全域・人口集中地区の別","-",
"0000030026","男女の別（性別）（２），年齢各歳階級（８７），配偶関係（５），１人の一般世帯人員 全国・市部・郡部・ＤＩＤ（全国），全域・人口集中地区の別","-",
"0000030027","男女の別（性別）（２），年齢５歳階級（１７Ａ），配偶関係（５），１人の普通世帯人員 都道府県（４７）","-",
"0000030028","男女の別（性別）（２），年齢５歳階級（１７Ａ），配偶関係（５），１人の一般世帯人員 都道府県（４７）","-",
"0000030029","男女の別（性別）（２），年齢各歳階級（８７），配偶関係（５），準世帯の人員 全国・市部・郡部・ＤＩＤ（全国），全域・人口集中地区の別","-",
"0000030030","男女の別（性別）（２），年齢各歳階級（８７），配偶関係（５），施設等の世帯人員 全国・市部・郡部・ＤＩＤ（全国），全域・人口集中地区の別","-",
"0000030031","男女の別（性別）（２），年齢５歳階級（１７Ａ），配偶関係（５），準世帯の人員 都道府県（４７）","-",
"0000030032","男女の別（性別）（２），年齢５歳階級（１７Ａ），配偶関係（５），施設等の世帯人員 都道府県（４７）","-",
"0000030033","家計の収入の種類（２３），普通世帯数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030034","家計の収入の種類（２３），普通世帯人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030035","家計の収入の種類（２３），普通世帯の親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030036","家計の収入の種類（２３），普通世帯の親族就業者数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030037","家計の収入の種類（２３），１世帯当たり親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030038","家計の収入の種類（２３），６歳未満の親族のいる世帯の数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030039","家計の収入の種類（２３），６歳未満の親族のいる世帯の人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030040","家計の収入の種類（２３），６歳未満の親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030041","家計の収入の種類（２３），１８歳未満の親族のいる世帯の数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030042","家計の収入の種類（２３），１８歳未満の親族のいる世帯の人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030043","家計の収入の種類（２３），１８歳未満の親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030044","家計の収入の種類（２３），６５歳以上の親族のいる世帯の数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030045","家計の収入の種類（２３），６５歳以上の親族のいる世帯の人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030046","家計の収入の種類（２３），６５歳以上の親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030047","家計の収入の種類（２３），６５歳以上の親族のみの世帯の数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030048","家計の収入の種類（２３），６５歳以上の親族のみの世帯の人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030049","家計の収入の種類（２３），親族失業者のいる世帯の数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030050","家計の収入の種類（２３），親族失業者のいる世帯の人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030051","家計の収入の種類（２３），親族失業者のいる世帯の親族就業者数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030052","家計の収入の種類（２３），親族失業者数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030053","家計の収入の種類（２３），一般世帯数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030054","家計の収入の種類（２３），一般世帯の親族就業者数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030055","世帯の家族類型（２０），普通世帯数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030056","世帯の家族類型（２０），普通世帯人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030057","世帯の家族類型（２０），普通世帯の親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030058","世帯の家族類型（２０），普通世帯の１世帯当たり親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030059","世帯の家族類型（２０），６歳未満の親族のいる世帯の数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030060","世帯の家族類型（２０），６歳未満の親族のいる世帯の人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030061","世帯の家族類型（２０），６歳未満の親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030062","世帯の家族類型（２０），１８歳未満の親族のいる世帯の数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030063","世帯の家族類型（２０），１８歳未満の親族のいる世帯の人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030064","世帯の家族類型（２０），１８歳未満の親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030065","世帯の家族類型（２０），６５歳以上の親族のいる世帯の数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030066","世帯の家族類型（２０），６５歳以上の親族のいる世帯の人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030067","世帯の家族類型（２０），６５歳以上の親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030068","一般世帯・単独世帯（２），世帯数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030069","一般世帯・単独世帯（２），世帯人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030070","一般世帯・単独世帯（２），親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030071","一般世帯・単独世帯（２），１世帯当たり親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030072","一般世帯・単独世帯（２），６歳未満の親族のいる世帯の数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030073","一般世帯・単独世帯（２），６歳未満の親族のいる世帯の人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030074","一般世帯・単独世帯（２），６歳未満の親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030075","一般世帯・単独世帯（２），１８歳未満の親族のいる世帯の数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030076","一般世帯・単独世帯（２），１８歳未満の親族のいる世帯の人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030077","一般世帯・単独世帯（２），１８歳未満の親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030078","一般世帯・単独世帯（２），６５歳以上の親族のいる世帯の数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030079","一般世帯・単独世帯（２），６５歳以上の親族のいる世帯の人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030080","一般世帯・単独世帯（２），６５歳以上の親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030081","世帯の経済構成（１６），親族人員別（８）普通世帯数・世帯人員・親族人員・１世帯当たり親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030082","世帯の経済構成（１６），６歳未満の親族のいる世帯の数・世帯人員・６歳未満の親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030083","世帯の経済構成（１６），１８歳未満の親族のいる世帯の数・世帯人員・１８歳未満の親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030084","世帯の経済構成（１６），６５歳以上の親族のいる世帯の数・世帯人員・６５歳以上の親族人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030085","世帯の経済構成（１６），一般世帯数・親族人員１人の一般世帯数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030086","経済構成・世帯の主な就業者の産業大分類（２６），普通世帯数・普通世帯人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030087","経済構成・世帯の主な就業者の産業大分類（２６），一般世帯数・一般世帯人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030088","経済構成・世帯の主な就業者の産業大分類（２６），親族就業者が１人の普通世帯数・普通世帯人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030089","経済構成・世帯の主な就業者の産業大分類（２６），親族就業者が１人の一般世帯数・普通世帯人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030090","住居の種類・住宅の所有の関係（９），世帯主の入居時期（４），住宅の建て方（９），普通世帯数 全国・市部・郡部・ＤＩＤ（全国），全域・人口集中地区の別","-",
"0000030091","住居の種類・住宅の所有の関係（９），世帯主の入居時期（４），住宅の建て方（９），普通世帯人員 全国・市部・郡部・ＤＩＤ（全国），全域・人口集中地区の別","-",
"0000030092","住居の種類・住宅の所有の関係（９），世帯主の入居時期（４），住宅の建て方（９），１世帯当たり世帯人員 全国・市部・郡部・ＤＩＤ（全国），全域・人口集中地区の別","-",
"0000030093","住居の種類・住宅の所有の関係（９），世帯主の入居時期（４），住宅の建て方（９），１世帯当たり室数 全国・市部・郡部・ＤＩＤ（全国），全域・人口集中地区の別","-",
"0000030094","住居の種類・住宅の所有の関係（９），世帯主の入居時期（４），住宅の建て方（９），１室当たり人員 全国・市部・郡部・ＤＩＤ（全国），全域・人口集中地区の別","-",
"0000030095","住居の種類・住宅の所有の関係（９），世帯主の入居時期（４），住宅の建て方（９），１世帯当たり畳数 全国・市部・郡部・ＤＩＤ（全国），全域・人口集中地区の別","-",
"0000030096","住居の種類・住宅の所有の関係（９），世帯主の入居時期（４），住宅の建て方（９），１人当たり畳数 全国・市部・郡部・ＤＩＤ（全国），全域・人口集中地区の別","-",
"0000030097","世帯主の入居時期（４），住宅の建て方（９），間借りの１人世帯の数 全国・市部・郡部・ＤＩＤ（全国），全域・人口集中地区の別","-",
"0000030098","住居の種類・住宅の所有の関係（９），世帯主の入居時期（４），住宅の建て方（８），普通世帯数 都道府県（４７）","-",
"0000030099","住居の種類・住宅の所有の関係（９），世帯主の入居時期（４），住宅の建て方（８），普通世帯人員 都道府県（４７）","-",
"0000030100","住居の種類・住宅の所有の関係（９），世帯主の入居時期（４），住宅の建て方（８），１世帯当たり世帯人員 都道府県（４７）","-",
"0000030101","住居の種類・住宅の所有の関係（９），世帯主の入居時期（４），住宅の建て方（８），１世帯当たり室数 都道府県（４７）","-",
"0000030102","住居の種類・住宅の所有の関係（９），世帯主の入居時期（４），住宅の建て方（８），１室当たり人員 都道府県（４７）","-",
"0000030103","住居の種類・住宅の所有の関係（９），世帯主の入居時期（４），住宅の建て方（８），１世帯当たり畳数 都道府県（４７）","-",
"0000030104","住居の種類・住宅の所有の関係（９），世帯主の入居時期（４），住宅の建て方（８），１人当たり畳数 都道府県（４７）","-",
"0000030105","世帯主の入居時期（４），住宅の建て方（８），間借りの１人世帯の数 都道府県（４７）","-",
"0000030106","住居の種類・住宅の所有の関係（８），世帯主の入居時期（３），普通世帯数・普通世帯人員・１世帯当たり人員・１世帯当たり室数・１室当たり人員・１世帯当たり畳数・１人当たり畳数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030107","世帯主の入居時期（３），間借りの１人世帯数・世帯人員・１世帯当たり室数・１室当たり人員・１世帯当たり畳数・１人当たり畳数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030108","住宅の建て方（８），住宅に住む普通世帯数・人員・主世帯世帯数・人員・１世帯当たり人員・室数・１室当たり人員・１世帯当たり畳数・１人当たり畳数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030109","住宅の所有の関係（８），世帯人員（８），居住室数（１１），住宅に住む普通世帯数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030110","住宅の所有の関係（８），世帯人員（８），１世帯当たり室数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030111","住宅の所有の関係（８），世帯人員（８），１室当たり人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030112","住宅の所有の関係（８），世帯人員（８），居住室数（１１），１世帯当たり畳数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030113","住宅の所有の関係（８），居住室数（１１），住宅に住む普通世帯の１世帯当たり人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030114","居住室数（１１），間借りの１人世帯の数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030115","間借りの１人世帯の１世帯当たり室数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030116","間借の１人世帯の１室当たりの人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030117","居住室数（１１），間借りの１人世帯の１世帯当たり畳数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
