"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00350610","0003200132","BSI項目 貴社・国内の景況判断ＢＳＩ：総括表(構成比・BSI)","四半期","201901-201903","2023-09-13"
"00350610","0003200145","計数項目 当年度売上高・経常利益：総括表(金額・前年同期比)","四半期","201901-201903","2023-09-13"
"00350610","0003326000","BSI項目 貴社・国内の景況判断ＢＳＩ：総括表(構成比・BSI)","四半期","202404-202406","2024-06-13"
"00350610","0003326042","計数項目 当年度売上高・経常利益：総括表(金額・前年同期比)","四半期","202404-202406","2024-06-13"
"00350610","0003200105","計数項目 翌年度売上高・経常利益：総括表(金額・前年同期比)","四半期","201901-201903","2023-09-13"
"00350610","0003326160","計数項目 翌年度売上高・経常利益：総括表(金額・前年同期比)","四半期","202404-202406","2024-06-13"
"00350610","0003200165","計数項目 当年度売上高・経常利益：業種別(金額・前年同期比)","四半期","201901-201903","2023-09-13"
"00350610","0003200180","BSI項目 貴社・国内の景況判断ＢＳＩ：業種別(BSI)","四半期","201901-201903","2023-09-13"
"00350610","0003325983","BSI項目 貴社・国内の景況判断ＢＳＩ：業種別(BSI)","四半期","202404-202406","2024-06-13"
"00350610","0003326060","計数項目 当年度売上高・経常利益：業種別(金額・前年同期比)","四半期","202404-202406","2024-06-13"
"00350610","0003200150","計数項目 翌年度売上高・経常利益：業種別(金額・前年同期比)","四半期","201901-201903","2023-09-13"
"00350610","0003326161","計数項目 翌年度売上高・経常利益：業種別(金額・前年同期比)","四半期","202404-202406","2024-06-13"
"00350610","0003200200","BSI項目 貴社の景況判断ＢＳＩ：貴社の景況判断の決定要因(構成比・BSI)","四半期","201901-201903","2023-09-13"
"00350610","0003325984","BSI項目 貴社の景況判断ＢＳＩ：貴社の景況判断の決定要因(構成比・BSI)","四半期","202404-202406","2024-06-13"
"00350610","0003200183","BSI項目 資金繰り判断ＢＳＩ：総括表(構成比・BSI)","四半期","201901-201903","2023-09-13"
"00350610","0003200203","BSI項目 資金繰り判断ＢＳＩ：業種別(BSI)","四半期","201901-201903","2023-09-13"
"00350610","0003200115","BSI項目 金融機関の融資態度判断ＢＳＩ：総括表(構成比・BSI)","四半期","201901-201903","2023-09-13"
"00350610","0003200223","BSI項目 金融機関の融資態度判断ＢＳＩ：業種別(BSI)","四半期","201901-201903","2023-09-13"
"00350610","0003200184","BSI項目 設備判断ＢＳＩ：総括表(構成比・BSI)","四半期","201901-201903","2023-09-13"
"00350610","0003200204","BSI項目 設備判断ＢＳＩ：業種別(BSI)","四半期","201901-201903","2023-09-13"
"00350610","0003200116","BSI項目 従業員数判断ＢＳＩ：総括表(構成比・BSI)","四半期","201901-201903","2023-09-13"
"00350610","0003200224","BSI項目 従業員数判断ＢＳＩ：業種別(BSI)","四半期","201901-201903","2023-09-13"
"00350610","0003200185","BSI項目 臨時パート判断ＢＳＩ：総括表(構成比・BSI)","四半期","201901-201903","2023-09-13"
"00350610","0003200205","BSI項目 臨時パート判断ＢＳＩ：業種別(BSI)","四半期","201901-201903","2023-09-13"
"00350610","0003200117","BSI項目 収益改善のための方策(構成比)","四半期","201901-201903","2023-09-13"
"00350610","0003200118","BSI項目 来年度の企業収益・設備投資見通し(構成比)","四半期","201901-201903","2023-09-13"
"00350610","0003200186","BSI項目 今年度における設備投資のスタンス(構成比)","四半期","201901-201903","2023-09-13"
"00350610","0003200206","BSI項目 今年度における利益配分のスタンス(構成比)","四半期","201901-201903","2023-09-13"
"00350610","0003200225","BSI項目 今年度における資金調達方法(構成比)","四半期","201901-201903","2023-09-13"
"00350610","0003200112","BSI項目 売上高判断ＢＳＩ：総括表(構成比・BSI)","四半期","201901-201903","2023-09-13"
"00350610","0003326001","BSI項目 設備判断ＢＳＩ：総括表(構成比・BSI)","四半期","202404-202406","2024-06-13"
"00350610","0003326043","計数項目 当年度設備投資：総括表(金額・前年同期比)","四半期","202404-202406","2024-06-13"
"00350610","0003200110","計数項目 当年度設備投資：半期・総括表(金額・前年同期比)","四半期","201901-201903","2023-09-13"
"00350610","0003200169","計数項目 翌年度設備投資：半期・総括表(金額・前年同期比)","四半期","201901-201903","2023-09-13"
"00350610","0003326162","計数項目 翌年度設備投資：総括表(金額・前年同期比)","四半期","202404-202406","2024-06-13"
"00350610","0003200220","BSI項目 売上高判断ＢＳＩ：業種別(BSI)","四半期","201901-201903","2023-09-13"
"00350610","0003326002","BSI項目 設備判断ＢＳＩ：業種別(BSI)","四半期","202404-202406","2024-06-13"
"00350610","0003326044","計数項目 当年度設備投資：業種別(金額・前年同期比)","四半期","202404-202406","2024-06-13"
"00350610","0003200130","計数項目 当年度設備投資：半期・業種別(金額・前年同期比)","四半期","201901-201903","2023-09-13"
"00350610","0003200151","計数項目 翌年度設備投資：半期・業種別(金額・前年同期比)","四半期","201901-201903","2023-09-13"
"00350610","0003326163","計数項目 翌年度設備投資：業種別(金額・前年同期比)","四半期","202404-202406","2024-06-13"
"00350610","0003200111","計数項目 設備投資：四半期・総括表(金額・前年同期比)","四半期","201901-201903","2023-09-13"
