"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003385932","00450100","1","産業(大・中分類)、事業所規模、労働不能程度別労働災害率及び死傷者1人平均労働損失日数","労働災害動向調査","（統計表）一般産業","年次",0,"2024-09-27"
"0003385936","00450100","5","産業(製造業の特定産業)、労働不能程度別労働災害率及び死傷者1人平均労働損失日数(事業所規模10～29人)","労働災害動向調査","（統計表）一般産業","年次",0,"2024-09-27"
"0003385937","00450100","6","産業(大・中分類)、事業所規模、労働災害度数率階級別事業所割合","労働災害動向調査","（統計表）一般産業","年次",0,"2024-09-27"
"0003385940","00450100","9","工事の種類、労働災害度数率階級別事業所割合(総合工事業)","労働災害動向調査","（統計表）総合工事業","年次",0,"2024-09-27"
"0003385942","00450100","1-2","産業(大・中分類)、事業所規模・企業規模別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数の復元数(30人以上)","労働災害動向調査","（報告書非掲載表）一般産業","年次",0,"2024-09-27"
"0003385951","00450100","10-2","産業(製造業特定産業)、度数率階級別事業所数の復元数及び構成比(10～29人)＜構成比＞","労働災害動向調査","（報告書非掲載表）一般産業","年次",0,"2024-09-27"
"0003385943","00450100","3-2","特掲産業(小分類)、事業所規模別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者1人平均労働損失日数の復元数(30人以上)","労働災害動向調査","（報告書非掲載表）一般産業","年次",0,"2024-09-27"
"0003385944","00450100","4-2","特掲産業(細分類)別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数の復元数（１００人以上）","労働災害動向調査","（報告書非掲載表）一般産業","年次",0,"2024-09-27"
"0003385945","00450100","5-2","産業(製造業特定産業)別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数の復元数(10～29人)","労働災害動向調査","（報告書非掲載表）一般産業","年次",0,"2024-09-27"
"0003385946","00450100","6-2","産業(大分類)、都道府県別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者1人平均労働損失日数の復元数(100人以上)","労働災害動向調査","（報告書非掲載表）一般産業","年次",0,"2024-09-27"
"0003385948","00450100","7-2","産業(計・製造業・その他)、事業所規模、事業所平均月間実労働時間階級別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者1人平均労働損失日数の復元数(30人以上)","労働災害動向調査","（報告書非掲載表）一般産業","年次",0,"2024-09-27"
"0003385950","00450100","9-2","産業(計・製造業・その他)、事業所規模、事業所平均月間実労働時間階級、度数率階級別事業所数の復元数及び構成比(30人以上)＜構成比＞","労働災害動向調査","（報告書非掲載表）一般産業","年次",0,"2024-09-27"
"0003385952","00450100","31-2","建設業(総合工事業)工事の種類、請負金額区分別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数の復元数","労働災害動向調査","（報告書非掲載表）総合工事業","年次",0,"2024-09-27"
"0003361040","00450100","32-2","建設業(総合工事業)都道府県別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数の復元数","労働災害動向調査","（報告書非掲載表）総合工事業","年次",0,"2024-09-27"
