"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003114490","00600120","1","用途別、建築主別／建築物の数、床面積、工事費予定額","建築物着工統計","年次",0,"2024-08-30"
"0003117525","00600120","1","用途別、建築主別／建築物の数、床面積、工事費予定額","建築物着工統計","年度次",0,"2024-08-30"
"0004000400","00600120","1","用途別、建築主別／建築物の数、床面積、工事費予定額","建築物着工統計","月次",0,"2024-09-30"
"0003117508","00600120","2","建築主別、構造別／建築物の数、床面積、工事費予定額","建築物着工統計","年度次",0,"2024-08-30"
"0003139220","00600120","2","建築主別、構造別／建築物の数、床面積、工事費予定額","建築物着工統計","年次",0,"2024-03-06"
"0003461558","00600120","2","建築主別、構造別／建築物の数、床面積、工事費予定額","建築物着工統計","月次",0,"2024-09-30"
"0003114511","00600120","20","構造別、工事期間別、規模別／建築物の数、床面積","建築物着工統計","年次",0,"2024-08-30"
"0003117528","00600120","20","構造別、工事期間別、規模別／建築物の数、床面積","建築物着工統計","年度次",0,"2024-08-30"
"0003114342","00600120","21","用途別、工事種類別／工事件数、建築物の数、床面積、工事費予定額","建築物着工統計","月次",0,"2024-09-30"
"0003114493","00600120","21","用途別、工事種類別／工事件数、建築物の数、床面積、工事費予定額","建築物着工統計","年次",0,"2024-08-30"
"0003117503","00600120","21","用途別、工事種類別／工事件数、建築物の数、床面積、工事費予定額","建築物着工統計","年度次",0,"2024-08-30"
"0003114532","00600120","22","用途別(大分類)、敷地面積規模別(新築工事)／工事件数、建築物の数、敷地面積","建築物着工統計","年次",0,"2024-08-30"
"0003117511","00600120","22","用途別(大分類)、敷地面積規模別(新築工事)／工事件数、建築物の数、敷地面積","建築物着工統計","年度次",0,"2024-08-30"
"0003114550","00600120","23","用途別(大分類)、構造別、敷地利用率別(新築工事)／工事件数、床面積、敷地面積","建築物着工統計","年次",0,"2024-08-30"
"0003117548","00600120","23","用途別(大分類)、構造別、敷地利用率別(新築工事)／工事件数、床面積、敷地面積","建築物着工統計","年度次",0,"2024-08-30"
"0003114363","00600120","25","構造別、用途別、規模別（鉄骨造）／建築物の数、床面積","建築物着工統計","月次",0,"2024-09-30"
"0003114512","00600120","25","構造別、用途別、規模別（鉄骨造）／建築物の数、床面積","建築物着工統計","年次",0,"2024-08-30"
"0003117529","00600120","25","構造別、用途別、規模別（鉄骨造）／建築物の数、床面積","建築物着工統計","年度次",0,"2024-08-30"
"0003114407","00600120","3","用途別、構造別／建築物の数、床面積、工事費予定額","建築物着工統計","月次",0,"2024-09-30"
"0003114547","00600120","3","用途別、構造別／建築物の数、床面積、工事費予定額","建築物着工統計","年次",0,"2024-08-30"
"0003117545","00600120","3","用途別、構造別／建築物の数、床面積、工事費予定額","建築物着工統計","年度次",0,"2024-08-30"
"0003114409","00600120","30","多用途建築物用途別、構造別／建築物の数、床面積、工事費予定額","建築物着工統計","月次",0,"2024-09-30"
"0003114494","00600120","30","多用途建築物用途別、構造別／建築物の数、床面積、工事費予定額","建築物着工統計","年次",0,"2024-08-30"
"0003117504","00600120","30","多用途建築物用途別、構造別／建築物の数、床面積、工事費予定額","建築物着工統計","年度次",0,"2024-08-30"
"0003114343","00600120","37","用途別、会社資本規模別／建築物の数、床面積、工事費予定額","建築物着工統計","月次",0,"2024-09-30"
"0003114551","00600120","37","用途別、会社資本規模別／建築物の数、床面積、工事費予定額","建築物着工統計","年次",0,"2024-03-05"
"0003117549","00600120","37","用途別、会社資本規模別／建築物の数、床面積、工事費予定額","建築物着工統計","年度次",0,"2024-08-30"
"0003114364","00600120","38","都市計画別、用途別（大分類）、建築主別／建築物の数、床面積、工事費予定額","建築物着工統計","月次",0,"2024-09-30"
"0003114513","00600120","38","都市計画別、用途別（大分類）、建築主別／建築物の数、床面積、工事費予定額","建築物着工統計","年次",0,"2024-08-30"
"0003117530","00600120","38","都市計画別、用途別（大分類）、建築主別／建築物の数、床面積、工事費予定額","建築物着工統計","年度次",0,"2024-08-30"
"0003114393","00600120","4","用途別（大分類）、地上の階数別、構造別（新築工事）／建築物の数、床面積、敷地面積","建築物着工統計","月次",0,"2024-09-30"
"0003114509","00600120","4","用途別（大分類）、地上の階数別、構造別（新築工事）／建築物の数、床面積、敷地面積","建築物着工統計","年次",0,"2024-08-30"
"0003117526","00600120","4","用途別（大分類）、地上の階数別、構造別（新築工事）／建築物の数、床面積、敷地面積","建築物着工統計","年度次",0,"2024-08-30"
"0003114410","00600120","40","用途別、地下の階数別（地下を有する新築工事）／建築物の数、床面積、工事費予定額、敷地面積","建築物着工統計","月次",0,"2024-09-30"
"0003114495","00600120","40","用途別、地下の階数別（地下を有する新築工事）／建築物の数、床面積、工事費予定額、敷地面積","建築物着工統計","年次",0,"2024-08-30"
"0003117565","00600120","40","用途別、地下の階数別（地下を有する新築工事）／建築物の数、床面積、工事費予定額、敷地面積","建築物着工統計","年度次",0,"2024-08-30"
"0003114340","00600120","5","都道府県別、建築主別／建築物の数、床面積、工事費予定額","建築物着工統計","月次",0,"2024-09-30"
"0003114491","00600120","5","都道府県別、建築主別／建築物の数、床面積、工事費予定額","建築物着工統計","年次",0,"2024-08-30"
"0003117501","00600120","5","都道府県別、建築主別／建築物の数、床面積、工事費予定額","建築物着工統計","年度次",0,"2024-08-30"
"0003114530","00600120","6-1","都道府県別、構造別／建築物の数、床面積、工事費予定額","建築物着工統計","年次",0,"2024-08-30"
"0003117509","00600120","6-1","都道府県別、構造別／建築物の数、床面積、工事費予定額","建築物着工統計","年度次",0,"2024-08-30"
"0004000420","00600120","6-1","都道府県別、構造別／建築物の数、床面積、工事費予定額","建築物着工統計","月次",0,"2024-09-30"
"0003114394","00600120","7-1","都道府県別、用途別（大分類）／建築物の数、床面積、工事費予定額","建築物着工統計","月次",0,"2024-09-30"
"0003114510","00600120","7-1","都道府県別、用途別（大分類）／建築物の数、床面積、工事費予定額","建築物着工統計","年次",0,"2024-08-30"
"0003117527","00600120","7-1","都道府県別、用途別（大分類）／建築物の数、床面積、工事費予定額","建築物着工統計","年度次",0,"2024-08-30"
"0003114362","00600120","8","構造別（鉄筋コンクリート造）、用途別、規模別／建築物の数、床面積","建築物着工統計","月次",0,"2024-09-30"
"0003114531","00600120","8","構造別（鉄筋コンクリート造）、用途別、規模別／建築物の数、床面積","建築物着工統計","年次",0,"2024-08-30"
"0003117510","00600120","8","構造別（鉄筋コンクリート造）、用途別、規模別／建築物の数、床面積","建築物着工統計","年度次",0,"2024-08-30"
